,Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName
35,A,Lycalopex gymnocercus,20/12/2016 18:37,20/12/2016,18:37:08,63866,1064,17.7,0.7,C:/Documents/camtrapR/camara1,e66.JPG
36,A,Lycalopex gymnocercus,21/12/2016 06:57,21/12/2016,06:57:30,44391,740,12.3,0.5,C:/Documents/camtrapR/camara1,e72.JPG
37,A,Lycalopex gymnocercus,21/12/2016 18:57,21/12/2016,18:57:36,43204,720,12,0.5,C:/Documents/camtrapR/camara1,e75.JPG
38,A,Lycalopex gymnocercus,22/12/2016 02:18,22/12/2016,02:18:59,26235,437,7.3,0.3,C:/Documents/camtrapR/camara1,e88.JPG
39,A,Lycalopex gymnocercus,22/12/2016 07:20,22/12/2016,07:20:13,18073,301,5,0.2,C:/Documents/camtrapR/camara1,e91.JPG
40,A,Lycalopex gymnocercus,23/12/2016 17:20,23/12/2016,17:20:43,122429,2040,34,1.4,C:/Documents/camtrapR/camara1,e94.JPG
41,A,Lycalopex gymnocercus,23/12/2016 18:27,23/12/2016,18:27:37,4013,67,1.1,0,C:/Documents/camtrapR/camara1,e97.JPG
42,A,Lycalopex gymnocercus,24/12/2016 06:33,24/12/2016,06:33:36,43558,726,12.1,0.5,C:/Documents/camtrapR/camara1,e100.JPG
43,A,Lycalopex gymnocercus,24/12/2016 18:24,24/12/2016,18:24:48,33910,565,9.4,0.4,C:/Documents/camtrapR/camara1,e124.JPG
44,A,Lycalopex gymnocercus,25/12/2016 05:57,25/12/2016,05:57:34,40837,681,11.3,0.5,C:/Documents/camtrapR/camara1,e130.JPG
45,A,Lycalopex gymnocercus,25/12/2016 07:25,25/12/2016,07:25:24,5269,88,1.5,0.1,C:/Documents/camtrapR/camara1,e133.JPG
